Postal_code,Population
" ,"" "",""1367 København K (København Municipality)"",376"
" ,"" "",""1368 København K (København Municipality)"",324"
" ,"" "",""1369 København K (København Municipality)"",187"
" ,"" "",""1370 København K (København Municipality)"",741"
" ,"" "",""1400 København K (København Municipality)"",429"
" ,"" "",""1401 København K (København Municipality)"",1007"
" ,"" "",""1402 København K (København Municipality)"",307"
" ,"" "",""1403 København K (København Municipality)"",8"
" ,"" "",""1406 København K (København Municipality)"",42"
" ,"" "",""1407 København K (København Municipality)"",134"
" ,"" "",""1408 København K (København Municipality)"",625"
" ,"" "",""1410 København K (København Municipality)"",30"
" ,"" "",""1411 København K (København Municipality)"",487"
" ,"" "",""1412 København K (København Municipality)"",38"
" ,"" "",""1413 København K (København Municipality)"",90"
" ,"" "",""1414 København K (København Municipality)"",255"
" ,"" "",""1415 København K (København Municipality)"",719"
" ,"" "",""1416 København K (København Municipality)"",470"
" ,"" "",""1417 København K (København Municipality)"",85"
" ,"" "",""1418 København K (København Municipality)"",254"
" ,"" "",""1419 København K (København Municipality)"",18"
" ,"" "",""1420 København K (København Municipality)"",681"
" ,"" "",""1421 København K (København Municipality)"",37"
" ,"" "",""1422 København K (København Municipality)"",851"
" ,"" "",""1423 København K (København Municipality)"",90"
" ,"" "",""1424 København K (København Municipality)"",390"
" ,"" "",""1425 København K (København Municipality)"",263"
" ,"" "",""1426 København K (København Municipality)"",144"
" ,"" "",""1427 København K (København Municipality)"",231"
" ,"" "",""1428 København K (København Municipality)"",450"
" ,"" "",""1429 København K (København Municipality)"",522"
" ,"" "",""1430 København K (København Municipality)"",422"
" ,"" "",""1431 København K (København Municipality)"",0"
" ,"" "",""1432 København K (København Municipality)"",2142"
" ,"" "",""1433 København K (København Municipality)"",0"
" ,"" "",""1434 København K (København Municipality)"",134"
" ,"" "",""1435 København K (København Municipality)"",103"
" ,"" "",""1436 København K (København Municipality)"",535"
" ,"" "",""1437 København K (København Municipality)"",443"
" ,"" "",""1439 København K (København Municipality)"",169"
" ,"" "",""1440 København K (København Municipality)"",725"
" ,"" "",""1441 København K (København Municipality)"",149"
" ,"" "",""1450 København K (København Municipality)"",61"
" ,"" "",""1451 København K (København Municipality)"",75"
" ,"" "",""1452 København K (København Municipality)"",135"
" ,"" "",""1453 København K (København Municipality)"",324"
" ,"" "",""1454 København K (København Municipality)"",146"
" ,"" "",""1455 København K (København Municipality)"",394"
" ,"" "",""1456 København K (København Municipality)"",126"
" ,"" "",""1457 København K (København Municipality)"",10"
" ,"" "",""1458 København K (København Municipality)"",73"
" ,"" "",""1459 København K (København Municipality)"",47"
" ,"" "",""1460 København K (København Municipality)"",60"
" ,"" "",""1462 København K (København Municipality)"",90"
" ,"" "",""1463 København K (København Municipality)"",25"
" ,"" "",""1464 København K (København Municipality)"",10"
" ,"" "",""1466 København K (København Municipality)"",109"
" ,"" "",""1467 København K (København Municipality)"",55"
" ,"" "",""1468 København K (København Municipality)"",123"
" ,"" "",""1470 København K (København Municipality)"",80"
" ,"" "",""1471 København K (København Municipality)"",36"
" ,"" "",""1472 København K (København Municipality)"",64"
" ,"" "",""1473 København K (København Municipality)"",20"
" ,"" "",""1500 København V (København Municipality)"",0"
" ,"" "",""1550 København V (København Municipality)"",14"
" ,"" "",""1551 København V (København Municipality)"",0"
" ,"" "",""1552 København V (København Municipality)"",382"
" ,"" "",""1553 København V (København Municipality)"",425"
" ,"" "",""1554 København V (København Municipality)"",0"
" ,"" "",""1555 København V (København Municipality)"",17"
" ,"" "",""1556 København V (København Municipality)"",46"
" ,"" "",""1557 København V (København Municipality)"",88"
" ,"" "",""1558 København V (København Municipality)"",60"
" ,"" "",""1559 København V (København Municipality)"",40"
" ,"" "",""1560 København V (København Municipality)"",6"
" ,"" "",""1561 København V (København Municipality)"",718"
" ,"" "",""1562 København V (København Municipality)"",36"
" ,"" "",""1563 København V (København Municipality)"",17"
" ,"" "",""1564 København V (København Municipality)"",126"
" ,"" "",""1568 København V (København Municipality)"",66"
" ,"" "",""1569 København V (København Municipality)"",89"
" ,"" "",""1570 København V (København Municipality)"",0"
" ,"" "",""1571 København V (København Municipality)"",45"
" ,"" "",""1572 København V (København Municipality)"",112"
" ,"" "",""1573 København V (København Municipality)"",376"
" ,"" "",""1574 København V (København Municipality)"",75"
" ,"" "",""1575 København V (København Municipality)"",24"
" ,"" "",""1576 København V (København Municipality)"",62"
" ,"" "",""1577 København V (København Municipality)"",692"
" ,"" "",""1600 København V (København Municipality)"",32"
" ,"" "",""1601 København V (København Municipality)"",530"
" ,"" "",""1602 København V (København Municipality)"",30"
" ,"" "",""1603 København V (København Municipality)"",72"
" ,"" "",""1605 København V (København Municipality)"",24"
" ,"" "",""1606 København V (København Municipality)"",138"
" ,"" "",""1608 København V (København Municipality)"",27"
" ,"" "",""1609 København V (København Municipality)"",2"
" ,"" "",""1610 København V (København Municipality)"",641"
" ,"" "",""1611 København V (København Municipality)"",0"
" ,"" "",""1614 København V (København Municipality)"",34"
" ,"" "",""1615 København V (København Municipality)"",214"
" ,"" "",""1616 København V (København Municipality)"",119"
" ,"" "",""1617 København V (København Municipality)"",154"
" ,"" "",""1618 København V (København Municipality)"",268"
" ,"" "",""1619 København V (København Municipality)"",137"
" ,"" "",""1620 København V (København Municipality)"",3174"
" ,"" "",""1621 København V (København Municipality)"",111"
" ,"" "",""1622 København V (København Municipality)"",193"
" ,"" "",""1623 København V (København Municipality)"",125"
" ,"" "",""1624 København V (København Municipality)"",161"
" ,"" "",""1631 København V (København Municipality)"",197"
" ,"" "",""1632 København V (København Municipality)"",144"
" ,"" "",""1633 København V (København Municipality)"",105"
" ,"" "",""1634 København V (København Municipality)"",171"
" ,"" "",""1635 København V (København Municipality)"",149"
" ,"" "",""1650 København V (København Municipality)"",1531"
" ,"" "",""1651 København V (København Municipality)"",347"
" ,"" "",""1652 København V (København Municipality)"",267"
" ,"" "",""1653 København V (København Municipality)"",249"
" ,"" "",""1654 København V (København Municipality)"",422"
" ,"" "",""1655 København V (København Municipality)"",523"
" ,"" "",""1656 København V (København Municipality)"",680"
" ,"" "",""1657 København V (København Municipality)"",515"
" ,"" "",""1658 København V (København Municipality)"",877"
" ,"" "",""1659 København V (København Municipality)"",47"
" ,"" "",""1660 København V (København Municipality)"",713"
" ,"" "",""1661 København V (København Municipality)"",439"
" ,"" "",""1662 København V (København Municipality)"",970"
" ,"" "",""1663 København V (København Municipality)"",1553"
" ,"" "",""1664 København V (København Municipality)"",104"
" ,"" "",""1665 København V (København Municipality)"",1259"
" ,"" "",""1666 København V (København Municipality)"",709"
" ,"" "",""1667 København V (København Municipality)"",162"
" ,"" "",""1668 København V (København Municipality)"",444"
" ,"" "",""1669 København V (København Municipality)"",756"
" ,"" "",""1670 København V (København Municipality)"",410"
